영화명,제작연도,장르
볼사리노,1970,"드라마,범죄"
대결,1970,드라마
생사의 고백,1970,"드라마,스릴러"
거미의 계략,1970,"드라마,미스터리"
17인의사자들,1970,"드라마,전쟁"
나타샤,1970,"드라마,전쟁"
워터루,1970,"액션,전쟁"
몬테월슈,1970,서부극(웨스턴)
미워도 다시 한번 3,1970,"드라마,멜로/로맨스"
공룡시대,1970,"SF,판타지,어드벤처"
러브 스토리,1970,멜로/로맨스
작은거인,1970,"드라마,서부극(웨스턴),어드벤처,전쟁"
내 이름은 튜니티,1970,코미디
말이라고 불리운 사나이,1970,서부극(웨스턴)
패튼 대전차 군단,1970,"드라마,전쟁"
속 밤의 열기속에서,1970,"드라마,미스터리,범죄"
월드 컵,1970,다큐멘터리
더 러브,1970,드라마
맛슈,1970,"드라마,코미디,전쟁"
밀애,1970,"드라마,뮤지컬,전쟁"
밤의 불청객,1970,"드라마,액션,스릴러"
제인 에어,1970,드라마
그리즈리 킹,1970,"서부극(웨스턴),가족"
로빈훗,1970,"어드벤처,사극"
"도라,도라,도라",1970,"액션,어드벤처,전쟁"
알라딘의 마술램프,1970,"판타지,애니메이션"
스크루우지,1970,"드라마,뮤지컬,판타지"
크레므린 레터,1970,액션
라이안의 처녀,1970,"멜로/로맨스,드라마"
복서,1970,드라마
송 오브 노르웨이,1970,"뮤지컬,드라마"
목격자,1970,"드라마,스릴러"
콘돌의 요새,1970,서부극(웨스턴)
솔저 블루,1970,"서부극(웨스턴),액션"
엘 콘도,1970,"서부극(웨스턴),멜로/로맨스,액션"
대탈옥,1970,"서부극(웨스턴),코미디"
수호지,1970,"사극,액션"
산드라 부인,1970,드라마
프렌치 커넥션,1971,"드라마,액션,스릴러,범죄"
화조,1971,멜로/로맨스
두 딸의 어머니,1971,멜로/로맨스
간다고 잊을소냐,1971,"드라마,멜로/로맨스"
기러기 남매,1971,멜로/로맨스
붉은 시편,1971,드라마
화녀,1971,"스릴러,멜로/로맨스"
철수무정,1971,액션
쇠사슬을 끊어라,1971,드라마
튜니티라 불러다오,1971,"서부극(웨스턴),코미디"
인간 사표를 써라,1971,액션
당산대형,1971,"액션,사극,범죄,스릴러"
지붕 위의 바이올린,1971,"뮤지컬,가족,드라마"
아디오스 사바타,1971,서부극(웨스턴)
딸라,1971,"코미디,범죄"
돈에 눌려 죽은 사나이,1971,코미디
리스본특급,1971,"드라마,범죄"
사랑할 때와 죽을 때,1971,"드라마,멜로/로맨스,전쟁"
여랑,1971,공포(호러)
나를 버리시나이까,1971,사극
쌍둥이 꼬마신랑,1971,드라마
성웅 이순신,1971,사극
철낭자,1971,액션
분례기,1971,드라마
고백,1971,드라마
평양 폭격대,1971,전쟁
연애도적,1971,코미디
둘째 어머니,1971,드라마
명동 삼국지,1971,액션
나를 더 이상 괴롭히지 마라,1971,액션
원한의 거리에 눈이 내린다,1971,드라마
30년만의 대결,1971,액션
예산시악시,1971,멜로/로맨스
미워도 다시 한번(대완결편),1971,"드라마,멜로/로맨스"
당신과 나 사이에,1971,멜로/로맨스
첫정,1971,멜로/로맨스
암흑가의 공포,1971,미스터리
요검,1971,"사극,액션"
흑백도,1971,액션
더티 해리,1971,"드라마,범죄,스릴러,액션"
신상,1971,"드라마,가족,뮤지컬"
공포의 25시,1971,"공포(호러),드라마,스릴러,범죄"
그레이트 후라이데이,1971,"액션,어드벤처"
금발의 나타샤,1971,"멜로/로맨스,어드벤처"
헌팅 파티,1971,"서부극(웨스턴),액션"
대해적,1971,"액션,어드벤처,코미디"
오빠,1971,"멜로/로맨스,드라마"
속 형,1971,드라마
윌라드,1971,공포(호러)
휴론만의 요새,1971,"미스터리,범죄"
어둠의 표적,1971,"드라마,범죄,스릴러"
애련의 밀사,1971,드라마
한국 제일의 사나이,1971,액션
현대인,1971,멜로/로맨스
경복궁의 여인들,1971,드라마
54번가의 마담,1971,사극
동경의 호랑이,1971,액션
"봄, 여름, 가을 그리고 겨울",1971,멜로/로맨스
맹인 대협객,1971,액션
갑돌이와 갑순이,1971,"드라마,멜로/로맨스"
슬픈 꽃잎이 질 때,1971,멜로/로맨스
사나이 현주소,1971,액션
